"Instituto Nacional de Estadística y Geografía",
"Consulta en línea de los precios promedio del INPC ",
"Publicados en el diario oficial de la Federación mensualmente ",
"Fecha de consulta: 17/09/2026 10:13:35",

"Año","Mes","Fecha_Pub_DOF","Clave ciudad","Nombre ciudad","División","Grupo","Clase","Subclase","Clave genérico","Genérico","Consecutivo","Especificación","Precio promedio","Cantidad","Unidad","Estatus"
"2014","11","22/12/2014 12:00:00 a. m.","05","Monterrey, N.L."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","001","BIMBO, BLANCO, BOLSA DE 680 GR","38.24","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","05","Monterrey, N.L."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","002","MP, INTEGRAL, BOLSA DE 680 GR","28.9","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","05","Monterrey, N.L."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","003","BIMBO, INTEGRAL, BOLSA DE 675 GR","38.44","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","05","Monterrey, N.L."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","004","MP, MEDIAS NOCHES, BOLSA DE 400 GR","33.63","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","05","Monterrey, N.L."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","005","BIMBO, TOSTADO, BOLSA DE 210 GR","86.19","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","05","Monterrey, N.L."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","006","SAM´S MP, BOLLOS, 12 PZAS, BOLSA DE 1400 GR","33.48","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","05","Monterrey, N.L."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","007","BIMBO, BLANCO, BOLSA DE 680 GR","38.24","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","05","Monterrey, N.L."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","008","SUNBEAM, BLANCO, BOLSA DE 567 GR","35.91","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","06","Mexicali, B.C."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","001","SARA LEE, INTEGRAL, BOLSA DE 567 GR","43.39","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","06","Mexicali, B.C."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","002","BIMBO, BLANCO, BOLSA DE 640 GR","43.77","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","06","Mexicali, B.C."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","003","NATURES OWN, INTEGRAL, BOLSA DE 567 GR","43.21","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","06","Mexicali, B.C."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","004","BIMBO, BLANCO, BOLSA DE 680 GR","39.71","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","07","Cd. Juárez, Chih."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","001","SUMBEAM, BLANCO, BOLSA DE 567 GR","31.66","1","KG","DESENCADENADO"
"2014","11","22/12/2014 12:00:00 a. m.","07","Cd. Juárez, Chih."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","002","PULLMAN, BLANCO, BOLSA DE 680 GR","27.94","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","07","Cd. Juárez, Chih."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","003","NATURE´S SUNSHINE, INTEGRAL, OWN HONEY, BOLSA DE 567 GR","47.97","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","07","Cd. Juárez, Chih."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","004","PULLMAN, BLANCO, BOLSA DE 500 GR","43","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","08","Acapulco, Gro."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","001","WONDER, INTEGRAL, 100%, BOLSA DE 567 GR","46.74","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","08","Acapulco, Gro."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","002","BIMBO, BLANCO, BOLSA DE 680 GR","38.24","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","08","Acapulco, Gro."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","003","BIMBO, INTEGRAL, BOLSA DE 390 GR","51.28","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","08","Acapulco, Gro."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","004","WONDER, INTEGRAL, 100% CON AJONJOLI, BOLSA DE 567 GR","43.1","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","09","Culiacán, Sin."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","001","BIMBO, BLANCO, BOLSA DE 680 GR","39.34","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","09","Culiacán, Sin."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","002","BIMBO, INTEGRAL, BOLSA DE 675 GR","38.52","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","09","Culiacán, Sin."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","003","BIMBO, BLANCO, BOLSA DE 640 GR","37.5","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","09","Culiacán, Sin."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","004","WONDER, BLANCO, SUPER PAN, BOLSA DE 567 GR","46.74","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","10","León, Gto."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","001","BIMBO, MULTIGRANO, BOLSA DE 540 GR","52.04","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","10","León, Gto."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","002","BIMBO, BLANCO, BOLSA DE 680 GR","38.24","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","10","León, Gto."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","003","WONDER, INTEGRAL, PREMIUM, CON AJONJOLI, BOLSA DE 567 GR","46.17","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","10","León, Gto."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","004","BIMBO, INTEGRAL, BOLSA DE 680 GR","41.18","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","11","Puebla, Pue."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","001","BIMBO, BLANCO, BOLSA DE 680 GR","38.24","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","11","Puebla, Pue."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","002","BIMBO, TOSTADO, BOLSA DE 210 GR","85.71","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","11","Puebla, Pue."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","003","WONDER, BLANCO, SUPER PAN, BOLSA DE 567 GR","42.2","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","11","Puebla, Pue."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","004","BIMBO, BLANCO, BOLSA DE 640 GR","37.5","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","11","Puebla, Pue."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","005","BIMBO, PAN MOLIDO, CLASICO, BOLSA DE 210 GR","55.36","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","11","Puebla, Pue."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","006","OROWEAT, INTEGRAL, 100%, BOLSA DE 680 GR","57.35","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","12","San Luis Potosí, S.L.P."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","001","MP, BLANCO, BOLSA DE 680 GR","25.96","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","12","San Luis Potosí, S.L.P."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","002","WONDER, INTEGRAL, 100% CON AJONJOLI, BOLSA DE 567 GR","43.87","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","12","San Luis Potosí, S.L.P."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","003","BIMBO, INTEGRAL, BOLSA DE 680 GR","41.18","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","12","San Luis Potosí, S.L.P."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","004","SUNBEAM, BLANCO, BOLSA DE 567 GR","33.33","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","13","Tapachula, Chis."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","001","BIMBO, TOSTADO, BOLSA DE 210 GR","80.95","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","13","Tapachula, Chis."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","002","BIMBO, BLANCO, BOLSA DE 640 GR","37.5","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","13","Tapachula, Chis."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","003","WONDER, INTEGRAL, 100% CON AJONJOLI, BOLSA DE 567 GR","41.09","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","13","Tapachula, Chis."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","004","WONDER, BOLLOS, SUPER BOLLOS, BOLSA C/8 PZAS DE 540 GR","49.86","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","14","Toluca, Edo. de Méx."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","001","BIMBO, MEDIAS NOCHES, BOLSA C/8 PZAS DE 290 GR","62.07","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","14","Toluca, Edo. de Méx."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","002","BIMBO, BLANCO, BOLSA DE 680 GR","38.24","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","14","Toluca, Edo. de Méx."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","003","WONDER, BOLLOS, SUPER BOLLOS, BOLSA C/8 PZAS DE 450 GR","51.11","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","14","Toluca, Edo. de Méx."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","004","BIMBO, INTEGRAL, BOLSA DE 750 GR","37.33","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","15","Torreón, Coah."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","001","WONDER, BLANCO, SUPER PAN, BOLSA DE 567 GR","46.3","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","15","Torreón, Coah."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","002","BIMBO, INTEGRAL, MULTIGRANO, LINAZA, BOLSA DE 540 GR","47.73","1","KG",""
