ciudad,codigo,UE,A111A,H001A,J000A,A121A,Q000A,Q000B,A700A,A131A
03003,3116,7,26.893,83.0,3.902,16.308,19.699,2.09,16.524,10.585
03003,31161,7,26.893,83.0,3.902,16.308,19.699,2.09,16.524,10.585
03003,311613,6,,,,,,,,
03003,3118,222,220.767,869.0,30.025,122.552,84.077,7.554,126.443,98.215
03003,31181,143,129.012,549.0,17.809,61.484,41.376,3.714,62.797,67.528
03003,311812,143,129.012,549.0,17.809,61.484,41.376,3.714,62.797,67.528
03003,31183,78,,,,,,,,
03003,3119,6,3.978,24.0,0.871,2.557,1.045,0.135,2.565,1.421
03003,31192,2,,,,,,,,
03003,312,75,349.088,593.0,41.758,182.848,502.396,47.762,205.345,166.24
03003,3121,75,349.088,593.0,41.758,182.848,502.396,47.762,205.345,166.24
03003,31211,75,349.088,593.0,41.758,182.848,502.396,47.762,205.345,166.24
03003,325,5,6.039,25.0,0.873,3.425,3.571,0.333,3.495,2.614
03003,3254,1,,,,,,,,
03003,327,76,549.711,500.0,10.742,398.714,534.546,33.974,411.162,150.997
03003,3273,52,538.33,437.0,9.869,389.805,527.935,33.456,402.159,148.525
03003,3274,6,,,,,,,,
03003,43,393,2690.091,4380.0,399.213,1001.096,1484.725,94.875,6294.105,1688.995
03003,431,96,1176.386,1987.0,139.406,597.778,572.473,39.581,2804.375,578.608
03003,4311,86,879.781,1634.0,114.145,397.72,459.118,25.281,2231.357,482.061
03003,43111,21,161.021,270.0,25.5,88.938,121.436,4.05,728.665,72.083
03003,43112,18,96.942,283.0,12.089,29.752,191.346,9.922,256.204,67.19
03003,431121,7,,,,,,,,
03003,431122,3,,,,,,,,
03003,43113,12,65.244,139.0,4.805,16.015,24.412,2.735,137.661,49.229
03003,43114,2,,,,,,,,
03003,43116,8,125.619,301.0,7.941,97.982,65.535,3.607,423.752,27.637
03003,43117,3,,,,,,,,
03003,4312,10,296.605,353.0,25.261,200.058,113.355,14.3,573.018,96.547
03003,43121,9,,,,,,,,
03003,431211,7,,,,,,,,
03003,433,34,358.193,539.0,32.138,45.779,50.241,5.008,633.107,312.414
03003,4331,7,279.231,251.0,15.29,17.305,26.14,2.11,449.757,261.926
03003,46,3794,3454.342,15624.0,418.754,1372.325,2408.034,210.617,12511.341,2082.017
03003,461,1466,357.203,3023.0,47.188,137.131,245.8,21.236,745.85,220.072
03003,4611,1318,322.155,2777.0,43.911,117.842,231.512,20.377,665.206,204.313
03003,46111,939,150.022,1790.0,14.109,59.558,105.139,7.337,307.804,90.464
03003,46112,149,77.08,400.0,10.453,23.043,80.682,8.673,158.824,54.037
03003,461121,53,35.544,157.0,4.601,11.382,34.481,3.118,90.223,24.162
03003,461122,14,8.588,26.0,0.605,1.203,1.525,0.143,12.076,7.385
03003,46113,67,24.414,166.0,1.905,9.294,12.121,1.074,53.98,15.12
03003,46115,20,11.345,75.0,4.66,5.425,7.877,0.905,34.142,5.92
03003,4612,148,35.048,246.0,3.277,19.289,14.288,0.86,80.644,15.759
03003,46121,148,35.048,246.0,3.277,19.289,14.288,0.86,80.644,15.759
03003,461213,14,,,,,,,,
03003,462,403,1226.949,4932.0,82.917,617.199,831.167,65.496,5334.252,609.75
03003,4621,391,1059.909,3742.0,50.031,515.192,763.037,60.357,4800.492,544.717
03003,46211,391,1059.909,3742.0,50.031,515.192,763.037,60.357,4800.492,544.717
03003,464,158,,,,,,,,
03003,4641,158,,,,,,,,
03003,46411,106,111.112,512.0,24.225,32.883,20.906,2.393,286.27,78.229
03003,467,245,273.525,1090.0,48.076,85.284,375.922,27.8,610.587,188.241
03003,4671,245,273.525,1090.0,48.076,85.284,375.922,27.8,610.587,188.241
03003,48-49,150,963.033,2348.0,174.678,526.661,932.766,132.229,576.389,436.372
03003,485,12,183.799,359.0,38.784,87.848,286.471,63.905,90.923,95.951
03003,4852,2,,,,,,,,
04002,31-33,955,2771.798,7842.0,482.18,1856.769,993.422,71.536,1960.864,915.029
04002,311,354,951.738,1529.0,46.533,776.923,374.304,25.829,789.617,174.815
04002,3115,27,5.529,54.0,0.202,4.367,2.01,0.214,4.386,1.162
04002,31151,3,1.775,8.0,0.058,1.666,0.22,0.017,1.666,0.109
04002,3116,4,,,,,,,,
04002,31161,4,,,,,,,,
04002,311613,1,,,,,,,,
04002,3118,269,250.089,977.0,26.637,181.941,96.388,7.349,186.594,68.148
04002,31181,120,,,,,,,,
04002,311812,120,,,,,,,,
04002,31183,147,103.12,395.0,6.945,55.509,57.392,4.125,57.307,47.611
04002,3119,35,206.579,311.0,18.154,163.837,61.62,4.937,169.163,42.742
04002,31192,3,,,,,,,,
04002,312,38,815.884,1773.0,190.806,593.754,304.35,15.952,667.374,222.13
04002,3121,38,815.884,1773.0,190.806,593.754,304.35,15.952,667.374,222.13
04002,31211,38,815.884,1773.0,190.806,593.754,304.35,15.952,667.374,222.13
04002,325,7,28.326,66.0,5.367,16.319,27.658,2.152,16.777,12.007
04002,327,11,123.616,189.0,10.479,88.812,53.958,5.927,94.308,34.804
04002,3273,8,,,,,,,,
04002,43,333,1203.93,2870.0,265.151,503.949,805.19,80.418,3628.459,699.981
04002,431,70,653.538,1261.0,83.726,315.264,318.779,39.317,2024.193,338.274
